Chainage, Elevation
521.5986426,-9.520000458
522.8494787,-9.479999542
524.1003148,-9.460000038
525.3511509,-9.449999809
526.6019869,-9.43999958
527.852823,-9.430000305
529.1036591,-9.430000305
530.3544952,-9.409999847
531.6053312,-9.409999847
532.8561673,-9.399999619
534.1070034,-9.390000343
535.3578395,-9.369999886
536.6086755,-9.359999657
537.8595116,-9.340000153
539.1103477,-9.329999924
540.3611837,-9.319999695
541.6120198,-9.31000042
542.8628559,-9.300000191
544.113692,-9.289999962
545.364528,-9.289999962
546.6153641,-9.279999733
547.8662002,-9.270000458
549.1170363,-9.270000458
550.3678723,-9.270000458
551.6187084,-9.25
552.8695445,-9.229999542
554.1203806,-9.220000267
555.3712166,-9.210000038
556.6220527,-9.210000038
557.8728888,-9.199999809
559.1237249,-9.180000305
560.3745609,-9.180000305
561.625397,-9.170000076
562.8762331,-9.180000305
564.1270691,-9.180000305
565.3779052,-9.170000076
566.6287413,-9.159999847
567.8795774,-9.149999619
569.1304134,-9.140000343
570.3812495,-9.130000114
571.6320856,-9.140000343
572.8829217,-9.130000114
574.1337577,-9.119999886
575.3845938,-9.119999886
576.6354299,-9.109999657
577.886266,-9.109999657
579.137102,-9.090000153
580.3879381,-9.079999924
581.6387742,-9.069999695
582.8896102,-9.06000042
584.1404463,-9.050000191
585.3912824,-9.039999962
586.6421185,-9.029999733
587.8929545,-9.029999733
589.1437906,-9.020000458
590.3946267,-9.010000229
591.6454628,-9
592.8962988,-8.989999771
594.1471349,-8.970000267
595.397971,-8.960000038
596.6488071,-8.949999809
597.8996431,-8.93999958
599.1504792,-8.93999958
600.4013153,-8.920000076
601.6521514,-8.909999847
602.9029874,-8.909999847
604.1538235,-8.899999619
605.4046596,-8.880000114
606.6554956,-8.869999886
607.9063317,-8.850000381
609.1571678,-8.840000153
610.4080039,-8.840000153
611.6588399,-8.840000153
612.909676,-8.829999924
614.1605121,-8.819999695
615.4113482,-8.800000191
616.6621842,-8.789999962
617.9130203,-8.800000191
619.1638564,-8.789999962
620.4146925,-8.779999733
621.6655285,-8.779999733
622.9163646,-8.760000229
624.1672007,-8.75
625.4180367,-8.739999771
626.6688728,-8.739999771
627.9197089,-8.729999542
629.170545,-8.729999542
630.421381,-8.720000267
631.6722171,-8.710000038
632.9230532,-8.710000038
634.1738893,-8.710000038
635.4247253,-8.710000038
636.6755614,-8.699999809
637.9263975,-8.699999809
639.1772336,-8.680000305
640.4280696,-8.680000305
641.6789057,-8.659999847
642.9297418,-8.659999847
644.1805778,-8.670000076
645.4314139,-8.659999847
646.68225,-8.680000305
647.9330861,-8.659999847
649.1839221,-8.640000343
650.4347582,-8.630000114
651.6855943,-8.630000114
652.9364304,-8.619999886
654.1872664,-8.619999886
655.4381025,-8.609999657
656.6889386,-8.600000381
657.9397747,-8.590000153
659.1906107,-8.579999924
660.4414468,-8.569999695
661.6922829,-8.56000042
662.943119,-8.550000191
664.193955,-8.550000191
665.4447911,-8.550000191
666.6956272,-8.539999962
667.9464632,-8.520000458
669.1972993,-8.510000229
670.4481354,-8.5
671.6989715,-8.5
672.9498075,-8.489999771
674.2006436,-8.479999542
675.4514797,-8.470000267
676.7023158,-8.449999809
677.9531518,-8.449999809
679.2039879,-8.460000038
680.454824,-8.460000038
681.7056601,-8.449999809
682.9564961,-8.43999958
684.2073322,-8.420000076
685.4581683,-8.420000076
686.7090043,-8.409999847
687.9598404,-8.399999619
689.2106765,-8.399999619
690.4615126,-8.390000343
691.7123486,-8.390000343
692.9631847,-8.380000114
694.2140208,-8.369999886
695.4648569,-8.359999657
696.7156929,-8.359999657
697.966529,-8.350000381
699.2173651,-8.340000153
700.4682012,-8.340000153
701.7190372,-8.340000153
702.9698733,-8.329999924
704.2207094,-8.319999695
705.4715455,-8.329999924
706.7223815,-8.359999657
707.9732176,-8.300000191
709.2240537,-8.289999962
710.4748897,-8.289999962
711.7257258,-8.279999733
712.9765619,-8.279999733
714.227398,-8.260000229
715.478234,-8.260000229
716.7290701,-8.25
717.9799062,-8.25
719.2307423,-8.239999771
720.4815783,-8.239999771
721.7324144,-8.220000267
722.9832505,-8.210000038
724.2340866,-8.210000038
725.4849226,-8.199999809
726.7357587,-8.18999958
727.9865948,-8.180000305
729.2374308,-8.170000076
730.4882669,-8.170000076
731.739103,-8.149999619
732.9899391,-8.130000114
734.2407751,-8.119999886
735.4916112,-8.119999886
736.7424473,-8.130000114
737.9932834,-8.130000114
739.2441194,-8.109999657
740.4949555,-8.100000381
741.7457916,-8.090000153
742.9966277,-8.079999924
744.2474637,-8.090000153
745.4982998,-8.079999924
746.7491359,-8.069999695
747.9999719,-8.069999695
749.250808,-8.06000042
750.5016441,-8.06000042
751.7524802,-8.050000191
753.0033162,-8.050000191
754.2541523,-8.050000191
755.5049884,-8.050000191
756.7558245,-8.06000042
758.0066605,-8.039999962
759.2574966,-8.039999962
760.5083327,-8.039999962
761.7591688,-8.029999733
763.0100048,-8.010000229
764.2608409,-8
765.511677,-8.010000229
766.7625131,-8
768.0133491,-8.010000229
769.2641852,-8.010000229
770.5150213,-8.010000229
771.7658573,-8.010000229
773.0166934,-8.020000458
774.2675295,-8.020000458
775.5183656,-8.010000229
776.7692016,-8
778.0200377,-8
779.2708738,-7.980000019
780.5217099,-7.980000019
781.7725459,-7.980000019
783.023382,-7.960000038
784.2742181,-7.960000038
785.5250542,-7.960000038
786.7758902,-7.960000038
788.0267263,-7.949999809
789.2775624,-7.940000057
790.5283984,-7.940000057
791.7792345,-7.929999828
793.0300706,-7.920000076
794.2809067,-7.929999828
795.5317427,-7.940000057
796.7825788,-7.929999828
798.0334149,-7.929999828
799.284251,-7.940000057
800.535087,-7.929999828
801.7859231,-7.929999828
803.0367592,-7.980000019
804.2875953,-8.020000458
805.5384313,-8.069999695
806.7892674,-8.380000114
808.0401035,-8.43999958
809.2909396,-8.390000343
810.5417756,-8.270000458
811.7926117,-8.18999958
813.0434478,-8.18999958
814.2942838,-8.210000038
815.5451199,-8.220000267
816.795956,-8.220000267
818.0467921,-7.96999979
819.2976281,-7.809999943
820.5484642,-7.789999962
821.7993003,-7.71999979
823.0501364,-7.639999866
824.3009724,-7.650000095
825.5518085,-7.619999886
826.8026446,-7.590000153
828.0534807,-7.579999924
829.3043167,-7.559999943
830.5551528,-7.550000191
831.8059889,-7.539999962
833.0568249,-7.539999962
834.307661,-7.539999962
835.5584971,-7.539999962
836.8093332,-7.539999962
838.0601692,-7.539999962
839.3110053,-7.53000021
840.5618414,-7.539999962
841.8126775,-7.539999962
843.0635135,-7.53000021
844.3143496,-7.539999962
845.5651857,-7.539999962
846.8160218,-7.539999962
848.0668578,-7.550000191
849.3176939,-7.550000191
850.56853,-7.53000021
851.819366,-7.510000229
853.0702021,-7.510000229
854.3210382,-7.5
855.5718743,-7.480000019
856.8227103,-7.460000038
858.0735464,-7.440000057
859.3243825,-7.429999828
860.5752186,-7.420000076
861.8260546,-7.409999847
863.0768907,-7.400000095
864.3277268,-7.389999866
865.5785629,-7.369999886
866.8293989,-7.369999886
868.080235,-7.360000134
869.3310711,-7.340000153
870.5819072,-7.340000153
871.8327432,-7.329999924
873.0835793,-7.320000172
874.3344154,-7.300000191
875.5852514,-7.289999962
876.8360875,-7.28000021
878.0869236,-7.260000229
879.3377597,-7.25
880.5885957,-7.239999771
881.8394318,-7.21999979
883.0902679,-7.230000019
884.341104,-7.199999809
885.59194,-7.210000038
886.8427761,-7.179999828
888.0936122,-7.159999847
889.3444483,-7.139999866
890.5952843,-7.150000095
891.8461204,-7.170000076
893.0969565,-7.210000038
894.3477925,-7.289999962
895.5986286,-7.300000191
896.8494647,-7.369999886
898.1003008,-7.389999866
899.3511368,-7.369999886
900.6019729,-7.309999943
901.852809,-7.329999924
903.1036451,-7.300000191
904.3544811,-7.309999943
905.6053172,-7.25
906.8561533,-7.289999962
908.1069894,-7.429999828
909.3578254,-7.269999981
910.6086615,-7.119999886
911.8594976,-7.110000134
913.1103337,-7.309999943
914.3611697,-7.480000019
915.6120058,-7.559999943
916.8628419,-7.610000134
918.1136779,-7.460000038
919.364514,-7.21999979
920.6153501,-7.150000095
921.8661862,-7.21999979
923.1170222,-7.360000134
924.3678583,-7.340000153
925.6186944,-7.349999905
926.8695305,-7.130000114
928.1203665,-6.869999886
929.3712026,-6.809999943
930.6220387,-6.739999771
931.8728748,-6.690000057
933.1237108,-6.639999866
934.3745469,-6.599999905
935.625383,-6.570000172
936.876219,-6.539999962
938.1270551,-6.5
939.3778912,-6.460000038
940.6287273,-6.449999809
941.8795633,-6.429999828
943.1303994,-6.420000076
944.3812355,-6.389999866
945.6320716,-6.389999866
946.8829076,-6.380000114
948.1337437,-6.369999886
949.3845798,-6.360000134
950.6354159,-6.349999905
951.8862519,-6.329999924
953.137088,-6.320000172
954.3879241,-6.309999943
955.6387601,-6.289999962
956.8895962,-6.28000021
958.1404323,-6.269999981
959.3912684,-6.25
960.6421044,-6.25
961.8929405,-6.230000019
963.1437766,-6.199999809
964.3946127,-6.170000076
965.6454487,-6.159999847
966.8962848,-6.139999866
968.1471209,-6.130000114
969.397957,-6.119999886
970.648793,-6.099999905
971.8996291,-6.079999924
973.1504652,-6.059999943
974.4013013,-6.039999962
975.6521373,-6.039999962
976.9029734,-6.070000172
978.1538095,-6.329999924
979.4046455,-6.300000191
980.6554816,-6.309999943
981.9063177,-6.309999943
983.1571538,-6.449999809
984.4079898,-6.489999771
985.6588259,-6.380000114
986.909662,-6.460000038
988.1604981,-6.139999866
989.4113341,-5.860000134
990.6621702,-5.769999981
991.9130063,-5.670000076
993.1638424,-5.610000134
994.4146784,-5.559999943
995.6655145,-5.53000021
996.9163506,-5.5
998.1671866,-5.449999809
999.4180227,-5.389999866
